['Moscow Sheremetyevo International Airport (SVO)', 'Moscow Domodedovo Airport (DME)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Samara Kurumoch International Airport (KUF)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Samara Kurumoch International Airport (KUF)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Samara Kurumoch International Airport (KUF)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Samara Kurumoch International Airport (KUF)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Irkutsk International Airport (IKT)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Irkutsk International Airport (IKT)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Irkutsk International Airport (IKT)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Irkutsk International Airport (IKT)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Kaliningrad Khrabrovo Airport (KGD)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Rossiya Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Omsk Tsentralny Airport (OMS)', 'Aeroflot']
['Novosibirsk Tolmachevo Airport (OVB)', 'Omsk Tsentralny Airport (OMS)', 'S7 Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Omsk Tsentralny Airport (OMS)', 'Ural Airlines']
['Novosibirsk Tolmachevo Airport (OVB)', 'Omsk Tsentralny Airport (OMS)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Moscow Sheremetyevo International Airport (SVO)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Moscow Sheremetyevo International Airport (SVO)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Moscow Sheremetyevo International Airport (SVO)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Moscow Sheremetyevo International Airport (SVO)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Moscow Domodedovo Airport (DME)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Moscow Domodedovo Airport (DME)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Moscow Domodedovo Airport (DME)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Moscow Domodedovo Airport (DME)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Saint Petersburg Pulkovo Airport (LED)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Saint Petersburg Pulkovo Airport (LED)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Saint Petersburg Pulkovo Airport (LED)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Saint Petersburg Pulkovo Airport (LED)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Kazan International Airport (KZN)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Kazan International Airport (KZN)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Kazan International Airport (KZN)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Kazan International Airport (KZN)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Novosibirsk Tolmachevo Airport (OVB)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Sochi International Airport (AER)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Sochi International Airport (AER)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Sochi International Airport (AER)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Sochi International Airport (AER)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Vladivostok International Airport (VVO)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Vladivostok International Airport (VVO)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Vladivostok International Airport (VVO)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Vladivostok International Airport (VVO)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Rostov-on-Don Platov International Airport (ROV)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Rostov-on-Don Platov International Airport (ROV)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Rostov-on-Don Platov International Airport (ROV)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Rostov-on-Don Platov International Airport (ROV)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Ufa International Airport (UFA)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Ufa International Airport (UFA)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Ufa International Airport (UFA)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Ufa International Airport (UFA)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Krasnoyarsk International Airport (KJA)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Krasnoyarsk International Airport (KJA)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Krasnoyarsk International Airport (KJA)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Krasnoyarsk International Airport (KJA)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Samara Kurumoch International Airport (KUF)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Samara Kurumoch International Airport (KUF)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Samara Kurumoch International Airport (KUF)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Samara Kurumoch International Airport (KUF)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Irkutsk International Airport (IKT)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Irkutsk International Airport (IKT)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Irkutsk International Airport (IKT)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Irkutsk International Airport (IKT)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Kaliningrad Khrabrovo Airport (KGD)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Rossiya Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Omsk Tsentralny Airport (OMS)', 'Aeroflot']
['Yekaterinburg Koltsovo Airport (SVX)', 'Omsk Tsentralny Airport (OMS)', 'S7 Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Omsk Tsentralny Airport (OMS)', 'Ural Airlines']
['Yekaterinburg Koltsovo Airport (SVX)', 'Omsk Tsentralny Airport (OMS)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Moscow Sheremetyevo International Airport (SVO)', 'Aeroflot']
['Sochi International Airport (AER)', 'Moscow Sheremetyevo International Airport (SVO)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Moscow Sheremetyevo International Airport (SVO)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Moscow Sheremetyevo International Airport (SVO)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Moscow Domodedovo Airport (DME)', 'Aeroflot']
['Sochi International Airport (AER)', 'Moscow Domodedovo Airport (DME)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Moscow Domodedovo Airport (DME)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Moscow Domodedovo Airport (DME)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Saint Petersburg Pulkovo Airport (LED)', 'Aeroflot']
['Sochi International Airport (AER)', 'Saint Petersburg Pulkovo Airport (LED)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Saint Petersburg Pulkovo Airport (LED)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Saint Petersburg Pulkovo Airport (LED)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Kazan International Airport (KZN)', 'Aeroflot']
['Sochi International Airport (AER)', 'Kazan International Airport (KZN)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Kazan International Airport (KZN)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Kazan International Airport (KZN)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Aeroflot']
['Sochi International Airport (AER)', 'Novosibirsk Tolmachevo Airport (OVB)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Aeroflot']
['Sochi International Airport (AER)', 'Yekaterinburg Koltsovo Airport (SVX)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Vladivostok International Airport (VVO)', 'Aeroflot']
['Sochi International Airport (AER)', 'Vladivostok International Airport (VVO)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Vladivostok International Airport (VVO)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Vladivostok International Airport (VVO)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Rostov-on-Don Platov International Airport (ROV)', 'Aeroflot']
['Sochi International Airport (AER)', 'Rostov-on-Don Platov International Airport (ROV)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Rostov-on-Don Platov International Airport (ROV)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Rostov-on-Don Platov International Airport (ROV)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Ufa International Airport (UFA)', 'Aeroflot']
['Sochi International Airport (AER)', 'Ufa International Airport (UFA)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Ufa International Airport (UFA)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Ufa International Airport (UFA)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Krasnoyarsk International Airport (KJA)', 'Aeroflot']
['Sochi International Airport (AER)', 'Krasnoyarsk International Airport (KJA)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Krasnoyarsk International Airport (KJA)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Krasnoyarsk International Airport (KJA)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Samara Kurumoch International Airport (KUF)', 'Aeroflot']
['Sochi International Airport (AER)', 'Samara Kurumoch International Airport (KUF)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Samara Kurumoch International Airport (KUF)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Samara Kurumoch International Airport (KUF)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Irkutsk International Airport (IKT)', 'Aeroflot']
['Sochi International Airport (AER)', 'Irkutsk International Airport (IKT)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Irkutsk International Airport (IKT)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Irkutsk International Airport (IKT)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Aeroflot']
['Sochi International Airport (AER)', 'Kaliningrad Khrabrovo Airport (KGD)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Rossiya Airlines']
['Sochi International Airport (AER)', 'Omsk Tsentralny Airport (OMS)', 'Aeroflot']
['Sochi International Airport (AER)', 'Omsk Tsentralny Airport (OMS)', 'S7 Airlines']
['Sochi International Airport (AER)', 'Omsk Tsentralny Airport (OMS)', 'Ural Airlines']
['Sochi International Airport (AER)', 'Omsk Tsentralny Airport (OMS)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Moscow Sheremetyevo International Airport (SVO)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Moscow Sheremetyevo International Airport (SVO)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Moscow Sheremetyevo International Airport (SVO)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Moscow Sheremetyevo International Airport (SVO)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Moscow Domodedovo Airport (DME)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Moscow Domodedovo Airport (DME)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Moscow Domodedovo Airport (DME)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Moscow Domodedovo Airport (DME)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Saint Petersburg Pulkovo Airport (LED)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Saint Petersburg Pulkovo Airport (LED)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Saint Petersburg Pulkovo Airport (LED)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Saint Petersburg Pulkovo Airport (LED)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Kazan International Airport (KZN)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Kazan International Airport (KZN)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Kazan International Airport (KZN)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Kazan International Airport (KZN)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Novosibirsk Tolmachevo Airport (OVB)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Yekaterinburg Koltsovo Airport (SVX)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Sochi International Airport (AER)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Sochi International Airport (AER)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Sochi International Airport (AER)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Sochi International Airport (AER)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Rostov-on-Don Platov International Airport (ROV)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Rostov-on-Don Platov International Airport (ROV)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Rostov-on-Don Platov International Airport (ROV)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Rostov-on-Don Platov International Airport (ROV)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Ufa International Airport (UFA)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Ufa International Airport (UFA)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Ufa International Airport (UFA)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Ufa International Airport (UFA)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Krasnoyarsk International Airport (KJA)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Krasnoyarsk International Airport (KJA)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Krasnoyarsk International Airport (KJA)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Krasnoyarsk International Airport (KJA)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Samara Kurumoch International Airport (KUF)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Samara Kurumoch International Airport (KUF)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Samara Kurumoch International Airport (KUF)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Samara Kurumoch International Airport (KUF)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Irkutsk International Airport (IKT)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Irkutsk International Airport (IKT)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Irkutsk International Airport (IKT)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Irkutsk International Airport (IKT)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Kaliningrad Khrabrovo Airport (KGD)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Rossiya Airlines']
['Vladivostok International Airport (VVO)', 'Omsk Tsentralny Airport (OMS)', 'Aeroflot']
['Vladivostok International Airport (VVO)', 'Omsk Tsentralny Airport (OMS)', 'S7 Airlines']
['Vladivostok International Airport (VVO)', 'Omsk Tsentralny Airport (OMS)', 'Ural Airlines']
['Vladivostok International Airport (VVO)', 'Omsk Tsentralny Airport (OMS)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Moscow Sheremetyevo International Airport (SVO)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Moscow Sheremetyevo International Airport (SVO)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Moscow Sheremetyevo International Airport (SVO)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Moscow Sheremetyevo International Airport (SVO)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Moscow Domodedovo Airport (DME)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Moscow Domodedovo Airport (DME)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Moscow Domodedovo Airport (DME)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Moscow Domodedovo Airport (DME)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Saint Petersburg Pulkovo Airport (LED)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Saint Petersburg Pulkovo Airport (LED)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Saint Petersburg Pulkovo Airport (LED)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Saint Petersburg Pulkovo Airport (LED)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Kazan International Airport (KZN)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Kazan International Airport (KZN)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Kazan International Airport (KZN)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Kazan International Airport (KZN)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Novosibirsk Tolmachevo Airport (OVB)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Yekaterinburg Koltsovo Airport (SVX)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Sochi International Airport (AER)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Sochi International Airport (AER)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Sochi International Airport (AER)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Sochi International Airport (AER)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Vladivostok International Airport (VVO)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Vladivostok International Airport (VVO)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Vladivostok International Airport (VVO)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Vladivostok International Airport (VVO)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Ufa International Airport (UFA)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Ufa International Airport (UFA)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Ufa International Airport (UFA)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Ufa International Airport (UFA)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Krasnoyarsk International Airport (KJA)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Krasnoyarsk International Airport (KJA)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Krasnoyarsk International Airport (KJA)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Krasnoyarsk International Airport (KJA)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Samara Kurumoch International Airport (KUF)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Samara Kurumoch International Airport (KUF)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Samara Kurumoch International Airport (KUF)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Samara Kurumoch International Airport (KUF)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Irkutsk International Airport (IKT)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Irkutsk International Airport (IKT)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Irkutsk International Airport (IKT)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Irkutsk International Airport (IKT)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Kaliningrad Khrabrovo Airport (KGD)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Kaliningrad Khrabrovo Airport (KGD)', 'Rossiya Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Omsk Tsentralny Airport (OMS)', 'Aeroflot']
['Rostov-on-Don Platov International Airport (ROV)', 'Omsk Tsentralny Airport (OMS)', 'S7 Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Omsk Tsentralny Airport (OMS)', 'Ural Airlines']
['Rostov-on-Don Platov International Airport (ROV)', 'Omsk Tsentralny Airport (OMS)', 'Rossiya Airlines']
['Ufa International Airport (UFA)', 'Moscow Sheremetyevo International Airport (SVO)', 'Aeroflot']
['Ufa International Airport (UFA)', 'Moscow Sheremetyevo International Airport (SVO)', 'S7 Airlines']
['Ufa International Airport (UFA)', 'Moscow Sheremetyevo International Airport (SVO)', 'Ural Airlines']
['Ufa International Airport (UFA)', 'Moscow Sheremetyevo International Airport (SVO)', 'Rossiya Airlines']
['Ufa International Airport (UFA)', 'Moscow Domodedovo Airport (DME)', 'Aeroflot']
['Ufa International Airport (UFA)', 'Moscow Domodedovo Airport (DME)', 'S7 Airlines']
['Ufa International Airport (UFA)', 'Moscow Domodedovo Airport (DME)', 'Ural Airlines']
['Ufa International Airport (UFA)', 'Moscow Domodedovo Airport (DME)', 'Rossiya Airlines']
['Ufa International Airport (UFA)', 'Saint Petersburg Pulkovo Airport (LED)', 'Aeroflot']
['Ufa International Airport (UFA)', 'Saint Petersburg Pulkovo Airport (LED)', 'S7 Airlines']
['Ufa International Airport (UFA)', 'Saint Petersburg Pulkovo Airport (LED)', 'Ural Airlines']
['Ufa International Airport (UFA)', 'Saint Petersburg Pulkovo Airport (LED)', 'Rossiya Airlines']
['Ufa International Airport (UFA)', 'Kazan International Airport (KZN)', 'Aeroflot']
['Ufa International Airport (UFA)', 'Kazan International Airport (KZN)', 'S7 Airlines']
['Ufa International Airport (UFA)', 'Kazan International Airport (KZN)', 'Ural Airlines']
['Ufa International Airport (UFA)', 'Kazan International Airport (KZN)', 'Rossiya Airlines']
['Ufa International Airport (UFA)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Aeroflot']
['Ufa International Airport (UFA)', 'Novosibirsk Tolmachevo Airport (OVB)', 'S7 Airlines']
['Ufa International Airport (UFA)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Ural Airlines']
['Ufa International Airport (UFA)', 'Novosibirsk Tolmachevo Airport (OVB)', 'Rossiya Airlines']
['Ufa International Airport (UFA)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Aeroflot']
['Ufa International Airport (UFA)', 'Yekaterinburg Koltsovo Airport (SVX)', 'S7 Airlines']
['Ufa International Airport (UFA)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Ural Airlines']
['Ufa International Airport (UFA)', 'Yekaterinburg Koltsovo Airport (SVX)', 'Rossiya Airlines']
['Ufa International Airport (UFA)', 'Sochi International Airport (AER)', 'Aeroflot']
['Ufa International Airport (UFA)', 'Sochi International Airport (AER)', 'S7 Airlines']
['Ufa International Airport (UFA)', 'Sochi International Airport (AER)', 'Ural Airlines']
['Ufa International Airport (UFA)', 'Sochi International Airport (AER)', 'Rossiya Airlines']
['Ufa International Airport (UFA)', 'Vladivostok International Airport (VVO)', 'Aeroflot']
['Ufa International Airport (UFA)', 'Vladivostok International Airport (VVO)', 'S7 Airlines']
['Ufa International Airport (UFA)', 'Vladivostok International Airport (VVO)', 'Ural Airlines']
