['Indira Gandhi International Airport (DEL)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'IndiGo']
['Rajiv Gandhi International Airport (HYD)', 'Mangalore International Airport (IXE)', 'Vistara']
['Rajiv Gandhi International Airport (HYD)', 'Mangalore International Airport (IXE)', 'SpiceJet']
['Rajiv Gandhi International Airport (HYD)', 'Mangalore International Airport (IXE)', 'Go First']
['Rajiv Gandhi International Airport (HYD)', 'Biju Patnaik International Airport (BBI)', 'IndiGo']
['Rajiv Gandhi International Airport (HYD)', 'Biju Patnaik International Airport (BBI)', 'Air India']
['Rajiv Gandhi International Airport (HYD)', 'Biju Patnaik International Airport (BBI)', 'Vistara']
['Rajiv Gandhi International Airport (HYD)', 'Biju Patnaik International Airport (BBI)', 'SpiceJet']
['Rajiv Gandhi International Airport (HYD)', 'Biju Patnaik International Airport (BBI)', 'Go First']
['Rajiv Gandhi International Airport (HYD)', 'Trivandrum International Airport (TRV)', 'IndiGo']
['Rajiv Gandhi International Airport (HYD)', 'Trivandrum International Airport (TRV)', 'Air India']
['Rajiv Gandhi International Airport (HYD)', 'Trivandrum International Airport (TRV)', 'Vistara']
['Rajiv Gandhi International Airport (HYD)', 'Trivandrum International Airport (TRV)', 'SpiceJet']
['Rajiv Gandhi International Airport (HYD)', 'Trivandrum International Airport (TRV)', 'Go First']
['Rajiv Gandhi International Airport (HYD)', 'Surat Airport (STV)', 'IndiGo']
['Rajiv Gandhi International Airport (HYD)', 'Surat Airport (STV)', 'Air India']
['Rajiv Gandhi International Airport (HYD)', 'Surat Airport (STV)', 'Vistara']
['Rajiv Gandhi International Airport (HYD)', 'Surat Airport (STV)', 'SpiceJet']
['Rajiv Gandhi International Airport (HYD)', 'Surat Airport (STV)', 'Go First']
['Rajiv Gandhi International Airport (HYD)', 'Visakhapatnam Airport (VTZ)', 'IndiGo']
['Rajiv Gandhi International Airport (HYD)', 'Visakhapatnam Airport (VTZ)', 'Air India']
['Rajiv Gandhi International Airport (HYD)', 'Visakhapatnam Airport (VTZ)', 'Vistara']
['Rajiv Gandhi International Airport (HYD)', 'Visakhapatnam Airport (VTZ)', 'SpiceJet']
['Rajiv Gandhi International Airport (HYD)', 'Visakhapatnam Airport (VTZ)', 'Go First']
['Rajiv Gandhi International Airport (HYD)', 'Bagdogra Airport (IXB)', 'IndiGo']
['Rajiv Gandhi International Airport (HYD)', 'Bagdogra Airport (IXB)', 'Air India']
['Rajiv Gandhi International Airport (HYD)', 'Bagdogra Airport (IXB)', 'Vistara']
['Rajiv Gandhi International Airport (HYD)', 'Bagdogra Airport (IXB)', 'SpiceJet']
['Rajiv Gandhi International Airport (HYD)', 'Bagdogra Airport (IXB)', 'Go First']
['Rajiv Gandhi International Airport (HYD)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'IndiGo']
['Rajiv Gandhi International Airport (HYD)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'Air India']
['Rajiv Gandhi International Airport (HYD)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'Vistara']
['Rajiv Gandhi International Airport (HYD)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'SpiceJet']
['Rajiv Gandhi International Airport (HYD)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'Go First']
['Rajiv Gandhi International Airport (HYD)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'IndiGo']
['Rajiv Gandhi International Airport (HYD)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'Air India']
['Rajiv Gandhi International Airport (HYD)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'Vistara']
['Rajiv Gandhi International Airport (HYD)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'SpiceJet']
['Rajiv Gandhi International Airport (HYD)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'Go First']
['Chennai International Airport (MAA)', 'Indira Gandhi International Airport (DEL)', 'IndiGo']
['Chennai International Airport (MAA)', 'Indira Gandhi International Airport (DEL)', 'Air India']
['Chennai International Airport (MAA)', 'Indira Gandhi International Airport (DEL)', 'Vistara']
['Chennai International Airport (MAA)', 'Indira Gandhi International Airport (DEL)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Indira Gandhi International Airport (DEL)', 'Go First']
['Chennai International Airport (MAA)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'IndiGo']
['Chennai International Airport (MAA)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Air India']
['Chennai International Airport (MAA)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Vistara']
['Chennai International Airport (MAA)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Go First']
['Chennai International Airport (MAA)', 'Kempegowda International Airport (BLR)', 'IndiGo']
['Chennai International Airport (MAA)', 'Kempegowda International Airport (BLR)', 'Air India']
['Chennai International Airport (MAA)', 'Kempegowda International Airport (BLR)', 'Vistara']
['Chennai International Airport (MAA)', 'Kempegowda International Airport (BLR)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Kempegowda International Airport (BLR)', 'Go First']
['Chennai International Airport (MAA)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'IndiGo']
['Chennai International Airport (MAA)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Air India']
['Chennai International Airport (MAA)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Vistara']
['Chennai International Airport (MAA)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Go First']
['Chennai International Airport (MAA)', 'Rajiv Gandhi International Airport (HYD)', 'IndiGo']
['Chennai International Airport (MAA)', 'Rajiv Gandhi International Airport (HYD)', 'Air India']
['Chennai International Airport (MAA)', 'Rajiv Gandhi International Airport (HYD)', 'Vistara']
['Chennai International Airport (MAA)', 'Rajiv Gandhi International Airport (HYD)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Rajiv Gandhi International Airport (HYD)', 'Go First']
['Chennai International Airport (MAA)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'IndiGo']
['Chennai International Airport (MAA)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'Air India']
['Chennai International Airport (MAA)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'Vistara']
['Chennai International Airport (MAA)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'Go First']
['Chennai International Airport (MAA)', 'Pune Airport (PNQ)', 'IndiGo']
['Chennai International Airport (MAA)', 'Pune Airport (PNQ)', 'Air India']
['Chennai International Airport (MAA)', 'Pune Airport (PNQ)', 'Vistara']
['Chennai International Airport (MAA)', 'Pune Airport (PNQ)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Pune Airport (PNQ)', 'Go First']
['Chennai International Airport (MAA)', 'Goa International Airport (GOI)', 'IndiGo']
['Chennai International Airport (MAA)', 'Goa International Airport (GOI)', 'Air India']
['Chennai International Airport (MAA)', 'Goa International Airport (GOI)', 'Vistara']
['Chennai International Airport (MAA)', 'Goa International Airport (GOI)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Goa International Airport (GOI)', 'Go First']
['Chennai International Airport (MAA)', 'Jaipur International Airport (JAI)', 'IndiGo']
['Chennai International Airport (MAA)', 'Jaipur International Airport (JAI)', 'Air India']
['Chennai International Airport (MAA)', 'Jaipur International Airport (JAI)', 'Vistara']
['Chennai International Airport (MAA)', 'Jaipur International Airport (JAI)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Jaipur International Airport (JAI)', 'Go First']
['Chennai International Airport (MAA)', 'Cochin International Airport (COK)', 'IndiGo']
['Chennai International Airport (MAA)', 'Cochin International Airport (COK)', 'Air India']
['Chennai International Airport (MAA)', 'Cochin International Airport (COK)', 'Vistara']
['Chennai International Airport (MAA)', 'Cochin International Airport (COK)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Cochin International Airport (COK)', 'Go First']
['Chennai International Airport (MAA)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'IndiGo']
['Chennai International Airport (MAA)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'Air India']
['Chennai International Airport (MAA)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'Vistara']
['Chennai International Airport (MAA)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'Go First']
['Chennai International Airport (MAA)', 'Mangalore International Airport (IXE)', 'IndiGo']
['Chennai International Airport (MAA)', 'Mangalore International Airport (IXE)', 'Air India']
['Chennai International Airport (MAA)', 'Mangalore International Airport (IXE)', 'Vistara']
['Chennai International Airport (MAA)', 'Mangalore International Airport (IXE)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Mangalore International Airport (IXE)', 'Go First']
['Chennai International Airport (MAA)', 'Biju Patnaik International Airport (BBI)', 'IndiGo']
['Chennai International Airport (MAA)', 'Biju Patnaik International Airport (BBI)', 'Air India']
['Chennai International Airport (MAA)', 'Biju Patnaik International Airport (BBI)', 'Vistara']
['Chennai International Airport (MAA)', 'Biju Patnaik International Airport (BBI)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Biju Patnaik International Airport (BBI)', 'Go First']
['Chennai International Airport (MAA)', 'Trivandrum International Airport (TRV)', 'IndiGo']
['Chennai International Airport (MAA)', 'Trivandrum International Airport (TRV)', 'Air India']
['Chennai International Airport (MAA)', 'Trivandrum International Airport (TRV)', 'Vistara']
['Chennai International Airport (MAA)', 'Trivandrum International Airport (TRV)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Trivandrum International Airport (TRV)', 'Go First']
['Chennai International Airport (MAA)', 'Surat Airport (STV)', 'IndiGo']
['Chennai International Airport (MAA)', 'Surat Airport (STV)', 'Air India']
['Chennai International Airport (MAA)', 'Surat Airport (STV)', 'Vistara']
['Chennai International Airport (MAA)', 'Surat Airport (STV)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Surat Airport (STV)', 'Go First']
['Chennai International Airport (MAA)', 'Visakhapatnam Airport (VTZ)', 'IndiGo']
['Chennai International Airport (MAA)', 'Visakhapatnam Airport (VTZ)', 'Air India']
['Chennai International Airport (MAA)', 'Visakhapatnam Airport (VTZ)', 'Vistara']
['Chennai International Airport (MAA)', 'Visakhapatnam Airport (VTZ)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Visakhapatnam Airport (VTZ)', 'Go First']
['Chennai International Airport (MAA)', 'Bagdogra Airport (IXB)', 'IndiGo']
['Chennai International Airport (MAA)', 'Bagdogra Airport (IXB)', 'Air India']
['Chennai International Airport (MAA)', 'Bagdogra Airport (IXB)', 'Vistara']
['Chennai International Airport (MAA)', 'Bagdogra Airport (IXB)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Bagdogra Airport (IXB)', 'Go First']
['Chennai International Airport (MAA)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'IndiGo']
['Chennai International Airport (MAA)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'Air India']
['Chennai International Airport (MAA)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'Vistara']
['Chennai International Airport (MAA)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'Go First']
['Chennai International Airport (MAA)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'IndiGo']
['Chennai International Airport (MAA)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'Air India']
['Chennai International Airport (MAA)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'Vistara']
['Chennai International Airport (MAA)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'SpiceJet']
['Chennai International Airport (MAA)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Indira Gandhi International Airport (DEL)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Indira Gandhi International Airport (DEL)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Indira Gandhi International Airport (DEL)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Indira Gandhi International Airport (DEL)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Indira Gandhi International Airport (DEL)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Kempegowda International Airport (BLR)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Kempegowda International Airport (BLR)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Kempegowda International Airport (BLR)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Kempegowda International Airport (BLR)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Kempegowda International Airport (BLR)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Rajiv Gandhi International Airport (HYD)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Rajiv Gandhi International Airport (HYD)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Rajiv Gandhi International Airport (HYD)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Rajiv Gandhi International Airport (HYD)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Rajiv Gandhi International Airport (HYD)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Chennai International Airport (MAA)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Chennai International Airport (MAA)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Chennai International Airport (MAA)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Chennai International Airport (MAA)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Chennai International Airport (MAA)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Pune Airport (PNQ)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Pune Airport (PNQ)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Pune Airport (PNQ)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Pune Airport (PNQ)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Pune Airport (PNQ)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Goa International Airport (GOI)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Goa International Airport (GOI)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Goa International Airport (GOI)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Goa International Airport (GOI)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Goa International Airport (GOI)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Jaipur International Airport (JAI)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Jaipur International Airport (JAI)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Jaipur International Airport (JAI)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Jaipur International Airport (JAI)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Jaipur International Airport (JAI)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Cochin International Airport (COK)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Cochin International Airport (COK)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Cochin International Airport (COK)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Cochin International Airport (COK)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Cochin International Airport (COK)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Mangalore International Airport (IXE)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Mangalore International Airport (IXE)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Mangalore International Airport (IXE)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Mangalore International Airport (IXE)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Mangalore International Airport (IXE)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Biju Patnaik International Airport (BBI)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Biju Patnaik International Airport (BBI)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Biju Patnaik International Airport (BBI)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Biju Patnaik International Airport (BBI)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Biju Patnaik International Airport (BBI)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Trivandrum International Airport (TRV)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Trivandrum International Airport (TRV)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Trivandrum International Airport (TRV)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Trivandrum International Airport (TRV)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Trivandrum International Airport (TRV)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Surat Airport (STV)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Surat Airport (STV)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Surat Airport (STV)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Surat Airport (STV)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Surat Airport (STV)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Visakhapatnam Airport (VTZ)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Visakhapatnam Airport (VTZ)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Visakhapatnam Airport (VTZ)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Visakhapatnam Airport (VTZ)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Visakhapatnam Airport (VTZ)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Bagdogra Airport (IXB)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Bagdogra Airport (IXB)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Bagdogra Airport (IXB)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Bagdogra Airport (IXB)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Bagdogra Airport (IXB)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Devi Ahilya Bai Holkar Airport (IDR)', 'Go First']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'IndiGo']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'Air India']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'Vistara']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'SpiceJet']
['Sardar Vallabhbhai Patel International Airport (AMD)', 'Sri Guru Ram Dass Jee International Airport (ATQ)', 'Go First']
['Pune Airport (PNQ)', 'Indira Gandhi International Airport (DEL)', 'IndiGo']
['Pune Airport (PNQ)', 'Indira Gandhi International Airport (DEL)', 'Air India']
['Pune Airport (PNQ)', 'Indira Gandhi International Airport (DEL)', 'Vistara']
['Pune Airport (PNQ)', 'Indira Gandhi International Airport (DEL)', 'SpiceJet']
['Pune Airport (PNQ)', 'Indira Gandhi International Airport (DEL)', 'Go First']
['Pune Airport (PNQ)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'IndiGo']
['Pune Airport (PNQ)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Air India']
['Pune Airport (PNQ)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Vistara']
['Pune Airport (PNQ)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'SpiceJet']
['Pune Airport (PNQ)', 'Chhatrapati Shivaji Maharaj International Airport (BOM)', 'Go First']
['Pune Airport (PNQ)', 'Kempegowda International Airport (BLR)', 'IndiGo']
['Pune Airport (PNQ)', 'Kempegowda International Airport (BLR)', 'Air India']
['Pune Airport (PNQ)', 'Kempegowda International Airport (BLR)', 'Vistara']
['Pune Airport (PNQ)', 'Kempegowda International Airport (BLR)', 'SpiceJet']
['Pune Airport (PNQ)', 'Kempegowda International Airport (BLR)', 'Go First']
['Pune Airport (PNQ)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'IndiGo']
['Pune Airport (PNQ)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Air India']
['Pune Airport (PNQ)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Vistara']
['Pune Airport (PNQ)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'SpiceJet']
['Pune Airport (PNQ)', 'Netaji Subhas Chandra Bose International Airport (CCU)', 'Go First']
['Pune Airport (PNQ)', 'Rajiv Gandhi International Airport (HYD)', 'IndiGo']
['Pune Airport (PNQ)', 'Rajiv Gandhi International Airport (HYD)', 'Air India']
['Pune Airport (PNQ)', 'Rajiv Gandhi International Airport (HYD)', 'Vistara']
['Pune Airport (PNQ)', 'Rajiv Gandhi International Airport (HYD)', 'SpiceJet']
['Pune Airport (PNQ)', 'Rajiv Gandhi International Airport (HYD)', 'Go First']
['Pune Airport (PNQ)', 'Chennai International Airport (MAA)', 'IndiGo']
['Pune Airport (PNQ)', 'Chennai International Airport (MAA)', 'Air India']
['Pune Airport (PNQ)', 'Chennai International Airport (MAA)', 'Vistara']
['Pune Airport (PNQ)', 'Chennai International Airport (MAA)', 'SpiceJet']
['Pune Airport (PNQ)', 'Chennai International Airport (MAA)', 'Go First']
['Pune Airport (PNQ)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'IndiGo']
['Pune Airport (PNQ)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'Air India']
['Pune Airport (PNQ)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'Vistara']
['Pune Airport (PNQ)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'SpiceJet']
['Pune Airport (PNQ)', 'Sardar Vallabhbhai Patel International Airport (AMD)', 'Go First']
['Pune Airport (PNQ)', 'Goa International Airport (GOI)', 'IndiGo']
['Pune Airport (PNQ)', 'Goa International Airport (GOI)', 'Air India']
['Pune Airport (PNQ)', 'Goa International Airport (GOI)', 'Vistara']
['Pune Airport (PNQ)', 'Goa International Airport (GOI)', 'SpiceJet']
['Pune Airport (PNQ)', 'Goa International Airport (GOI)', 'Go First']
['Pune Airport (PNQ)', 'Jaipur International Airport (JAI)', 'IndiGo']
['Pune Airport (PNQ)', 'Jaipur International Airport (JAI)', 'Air India']
['Pune Airport (PNQ)', 'Jaipur International Airport (JAI)', 'Vistara']
['Pune Airport (PNQ)', 'Jaipur International Airport (JAI)', 'SpiceJet']
['Pune Airport (PNQ)', 'Jaipur International Airport (JAI)', 'Go First']
['Pune Airport (PNQ)', 'Cochin International Airport (COK)', 'IndiGo']
['Pune Airport (PNQ)', 'Cochin International Airport (COK)', 'Air India']
['Pune Airport (PNQ)', 'Cochin International Airport (COK)', 'Vistara']
['Pune Airport (PNQ)', 'Cochin International Airport (COK)', 'SpiceJet']
['Pune Airport (PNQ)', 'Cochin International Airport (COK)', 'Go First']
['Pune Airport (PNQ)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'IndiGo']
['Pune Airport (PNQ)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'Air India']
['Pune Airport (PNQ)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'Vistara']
['Pune Airport (PNQ)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'SpiceJet']
['Pune Airport (PNQ)', 'Lokpriya Gopinath Bordoloi International Airport (GAU)', 'Go First']
['Pune Airport (PNQ)', 'Mangalore International Airport (IXE)', 'IndiGo']
['Pune Airport (PNQ)', 'Mangalore International Airport (IXE)', 'Air India']
['Pune Airport (PNQ)', 'Mangalore International Airport (IXE)', 'Vistara']
['Pune Airport (PNQ)', 'Mangalore International Airport (IXE)', 'SpiceJet']
['Pune Airport (PNQ)', 'Mangalore International Airport (IXE)', 'Go First']
['Pune Airport (PNQ)', 'Biju Patnaik International Airport (BBI)', 'IndiGo']
['Pune Airport (PNQ)', 'Biju Patnaik International Airport (BBI)', 'Air India']
['Pune Airport (PNQ)', 'Biju Patnaik International Airport (BBI)', 'Vistara']
