['London Heathrow Airport (LHR)', 'Paris Charles de Gaulle Airport (CDG)', 'Lufthansa']
['Amsterdam Airport Schiphol (AMS)', 'Prague Václav Havel Airport (PRG)', 'British Airways']
['Amsterdam Airport Schiphol (AMS)', 'Prague Václav Havel Airport (PRG)', 'Ryanair']
['Amsterdam Airport Schiphol (AMS)', 'Prague Václav Havel Airport (PRG)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'London Heathrow Airport (LHR)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'London Heathrow Airport (LHR)', 'Air France']
['Frankfurt Airport (FRA)', 'London Heathrow Airport (LHR)', 'British Airways']
['Frankfurt Airport (FRA)', 'London Heathrow Airport (LHR)', 'Ryanair']
['Frankfurt Airport (FRA)', 'London Heathrow Airport (LHR)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Paris Charles de Gaulle Airport (CDG)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Paris Charles de Gaulle Airport (CDG)', 'Air France']
['Frankfurt Airport (FRA)', 'Paris Charles de Gaulle Airport (CDG)', 'British Airways']
['Frankfurt Airport (FRA)', 'Paris Charles de Gaulle Airport (CDG)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Paris Charles de Gaulle Airport (CDG)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Amsterdam Airport Schiphol (AMS)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Amsterdam Airport Schiphol (AMS)', 'Air France']
['Frankfurt Airport (FRA)', 'Amsterdam Airport Schiphol (AMS)', 'British Airways']
['Frankfurt Airport (FRA)', 'Amsterdam Airport Schiphol (AMS)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Amsterdam Airport Schiphol (AMS)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Air France']
['Frankfurt Airport (FRA)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'British Airways']
['Frankfurt Airport (FRA)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Barcelona-El Prat Airport (BCN)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Barcelona-El Prat Airport (BCN)', 'Air France']
['Frankfurt Airport (FRA)', 'Barcelona-El Prat Airport (BCN)', 'British Airways']
['Frankfurt Airport (FRA)', 'Barcelona-El Prat Airport (BCN)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Barcelona-El Prat Airport (BCN)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Munich Airport (MUC)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Munich Airport (MUC)', 'Air France']
['Frankfurt Airport (FRA)', 'Munich Airport (MUC)', 'British Airways']
['Frankfurt Airport (FRA)', 'Munich Airport (MUC)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Munich Airport (MUC)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Air France']
['Frankfurt Airport (FRA)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'British Airways']
['Frankfurt Airport (FRA)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Zurich Airport (ZRH)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Zurich Airport (ZRH)', 'Air France']
['Frankfurt Airport (FRA)', 'Zurich Airport (ZRH)', 'British Airways']
['Frankfurt Airport (FRA)', 'Zurich Airport (ZRH)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Zurich Airport (ZRH)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Vienna International Airport (VIE)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Vienna International Airport (VIE)', 'Air France']
['Frankfurt Airport (FRA)', 'Vienna International Airport (VIE)', 'British Airways']
['Frankfurt Airport (FRA)', 'Vienna International Airport (VIE)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Vienna International Airport (VIE)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Istanbul Airport (IST)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Istanbul Airport (IST)', 'Air France']
['Frankfurt Airport (FRA)', 'Istanbul Airport (IST)', 'British Airways']
['Frankfurt Airport (FRA)', 'Istanbul Airport (IST)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Istanbul Airport (IST)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Copenhagen Airport (CPH)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Copenhagen Airport (CPH)', 'Air France']
['Frankfurt Airport (FRA)', 'Copenhagen Airport (CPH)', 'British Airways']
['Frankfurt Airport (FRA)', 'Copenhagen Airport (CPH)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Copenhagen Airport (CPH)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Oslo Gardermoen Airport (OSL)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Oslo Gardermoen Airport (OSL)', 'Air France']
['Frankfurt Airport (FRA)', 'Oslo Gardermoen Airport (OSL)', 'British Airways']
['Frankfurt Airport (FRA)', 'Oslo Gardermoen Airport (OSL)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Oslo Gardermoen Airport (OSL)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Stockholm Arlanda Airport (ARN)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Stockholm Arlanda Airport (ARN)', 'Air France']
['Frankfurt Airport (FRA)', 'Stockholm Arlanda Airport (ARN)', 'British Airways']
['Frankfurt Airport (FRA)', 'Stockholm Arlanda Airport (ARN)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Stockholm Arlanda Airport (ARN)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Dublin Airport (DUB)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Dublin Airport (DUB)', 'Air France']
['Frankfurt Airport (FRA)', 'Dublin Airport (DUB)', 'British Airways']
['Frankfurt Airport (FRA)', 'Dublin Airport (DUB)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Dublin Airport (DUB)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Brussels Airport (BRU)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Brussels Airport (BRU)', 'Air France']
['Frankfurt Airport (FRA)', 'Brussels Airport (BRU)', 'British Airways']
['Frankfurt Airport (FRA)', 'Brussels Airport (BRU)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Brussels Airport (BRU)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Lisbon Humberto Delgado Airport (LIS)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Lisbon Humberto Delgado Airport (LIS)', 'Air France']
['Frankfurt Airport (FRA)', 'Lisbon Humberto Delgado Airport (LIS)', 'British Airways']
['Frankfurt Airport (FRA)', 'Lisbon Humberto Delgado Airport (LIS)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Lisbon Humberto Delgado Airport (LIS)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Athens International Airport (ATH)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Athens International Airport (ATH)', 'Air France']
['Frankfurt Airport (FRA)', 'Athens International Airport (ATH)', 'British Airways']
['Frankfurt Airport (FRA)', 'Athens International Airport (ATH)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Athens International Airport (ATH)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Warsaw Chopin Airport (WAW)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Warsaw Chopin Airport (WAW)', 'Air France']
['Frankfurt Airport (FRA)', 'Warsaw Chopin Airport (WAW)', 'British Airways']
['Frankfurt Airport (FRA)', 'Warsaw Chopin Airport (WAW)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Warsaw Chopin Airport (WAW)', 'KLM Royal Dutch Airlines']
['Frankfurt Airport (FRA)', 'Prague Václav Havel Airport (PRG)', 'Lufthansa']
['Frankfurt Airport (FRA)', 'Prague Václav Havel Airport (PRG)', 'Air France']
['Frankfurt Airport (FRA)', 'Prague Václav Havel Airport (PRG)', 'British Airways']
['Frankfurt Airport (FRA)', 'Prague Václav Havel Airport (PRG)', 'Ryanair']
['Frankfurt Airport (FRA)', 'Prague Václav Havel Airport (PRG)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'London Heathrow Airport (LHR)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'London Heathrow Airport (LHR)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'London Heathrow Airport (LHR)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'London Heathrow Airport (LHR)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'London Heathrow Airport (LHR)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Paris Charles de Gaulle Airport (CDG)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Paris Charles de Gaulle Airport (CDG)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Paris Charles de Gaulle Airport (CDG)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Paris Charles de Gaulle Airport (CDG)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Paris Charles de Gaulle Airport (CDG)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Amsterdam Airport Schiphol (AMS)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Amsterdam Airport Schiphol (AMS)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Amsterdam Airport Schiphol (AMS)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Amsterdam Airport Schiphol (AMS)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Amsterdam Airport Schiphol (AMS)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Frankfurt Airport (FRA)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Frankfurt Airport (FRA)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Frankfurt Airport (FRA)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Frankfurt Airport (FRA)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Frankfurt Airport (FRA)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Barcelona-El Prat Airport (BCN)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Barcelona-El Prat Airport (BCN)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Barcelona-El Prat Airport (BCN)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Barcelona-El Prat Airport (BCN)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Barcelona-El Prat Airport (BCN)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Munich Airport (MUC)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Munich Airport (MUC)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Munich Airport (MUC)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Munich Airport (MUC)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Munich Airport (MUC)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Zurich Airport (ZRH)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Zurich Airport (ZRH)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Zurich Airport (ZRH)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Zurich Airport (ZRH)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Zurich Airport (ZRH)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Vienna International Airport (VIE)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Vienna International Airport (VIE)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Vienna International Airport (VIE)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Vienna International Airport (VIE)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Vienna International Airport (VIE)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Istanbul Airport (IST)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Istanbul Airport (IST)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Istanbul Airport (IST)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Istanbul Airport (IST)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Istanbul Airport (IST)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Copenhagen Airport (CPH)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Copenhagen Airport (CPH)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Copenhagen Airport (CPH)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Copenhagen Airport (CPH)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Copenhagen Airport (CPH)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Oslo Gardermoen Airport (OSL)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Oslo Gardermoen Airport (OSL)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Oslo Gardermoen Airport (OSL)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Oslo Gardermoen Airport (OSL)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Oslo Gardermoen Airport (OSL)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Stockholm Arlanda Airport (ARN)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Stockholm Arlanda Airport (ARN)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Stockholm Arlanda Airport (ARN)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Stockholm Arlanda Airport (ARN)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Stockholm Arlanda Airport (ARN)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Dublin Airport (DUB)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Dublin Airport (DUB)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Dublin Airport (DUB)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Dublin Airport (DUB)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Dublin Airport (DUB)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Brussels Airport (BRU)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Brussels Airport (BRU)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Brussels Airport (BRU)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Brussels Airport (BRU)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Brussels Airport (BRU)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Lisbon Humberto Delgado Airport (LIS)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Lisbon Humberto Delgado Airport (LIS)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Lisbon Humberto Delgado Airport (LIS)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Lisbon Humberto Delgado Airport (LIS)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Lisbon Humberto Delgado Airport (LIS)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Athens International Airport (ATH)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Athens International Airport (ATH)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Athens International Airport (ATH)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Athens International Airport (ATH)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Athens International Airport (ATH)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Warsaw Chopin Airport (WAW)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Warsaw Chopin Airport (WAW)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Warsaw Chopin Airport (WAW)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Warsaw Chopin Airport (WAW)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Warsaw Chopin Airport (WAW)', 'KLM Royal Dutch Airlines']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Prague Václav Havel Airport (PRG)', 'Lufthansa']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Prague Václav Havel Airport (PRG)', 'Air France']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Prague Václav Havel Airport (PRG)', 'British Airways']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Prague Václav Havel Airport (PRG)', 'Ryanair']
['Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Prague Václav Havel Airport (PRG)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'London Heathrow Airport (LHR)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'London Heathrow Airport (LHR)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'London Heathrow Airport (LHR)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'London Heathrow Airport (LHR)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'London Heathrow Airport (LHR)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Paris Charles de Gaulle Airport (CDG)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Paris Charles de Gaulle Airport (CDG)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Paris Charles de Gaulle Airport (CDG)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Paris Charles de Gaulle Airport (CDG)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Paris Charles de Gaulle Airport (CDG)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Amsterdam Airport Schiphol (AMS)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Amsterdam Airport Schiphol (AMS)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Amsterdam Airport Schiphol (AMS)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Amsterdam Airport Schiphol (AMS)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Amsterdam Airport Schiphol (AMS)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Frankfurt Airport (FRA)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Frankfurt Airport (FRA)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Frankfurt Airport (FRA)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Frankfurt Airport (FRA)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Frankfurt Airport (FRA)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Madrid-Barajas Adolfo Suárez Airport (MAD)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Munich Airport (MUC)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Munich Airport (MUC)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Munich Airport (MUC)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Munich Airport (MUC)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Munich Airport (MUC)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Rome Leonardo da Vinci–Fiumicino Airport (FCO)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Zurich Airport (ZRH)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Zurich Airport (ZRH)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Zurich Airport (ZRH)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Zurich Airport (ZRH)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Zurich Airport (ZRH)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Vienna International Airport (VIE)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Vienna International Airport (VIE)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Vienna International Airport (VIE)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Vienna International Airport (VIE)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Vienna International Airport (VIE)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Istanbul Airport (IST)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Istanbul Airport (IST)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Istanbul Airport (IST)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Istanbul Airport (IST)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Istanbul Airport (IST)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Copenhagen Airport (CPH)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Copenhagen Airport (CPH)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Copenhagen Airport (CPH)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Copenhagen Airport (CPH)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Copenhagen Airport (CPH)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Oslo Gardermoen Airport (OSL)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Oslo Gardermoen Airport (OSL)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Oslo Gardermoen Airport (OSL)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Oslo Gardermoen Airport (OSL)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Oslo Gardermoen Airport (OSL)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Stockholm Arlanda Airport (ARN)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Stockholm Arlanda Airport (ARN)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Stockholm Arlanda Airport (ARN)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Stockholm Arlanda Airport (ARN)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Stockholm Arlanda Airport (ARN)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Dublin Airport (DUB)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Dublin Airport (DUB)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Dublin Airport (DUB)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Dublin Airport (DUB)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Dublin Airport (DUB)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Brussels Airport (BRU)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Brussels Airport (BRU)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Brussels Airport (BRU)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Brussels Airport (BRU)', 'Ryanair']
['Barcelona-El Prat Airport (BCN)', 'Brussels Airport (BRU)', 'KLM Royal Dutch Airlines']
['Barcelona-El Prat Airport (BCN)', 'Lisbon Humberto Delgado Airport (LIS)', 'Lufthansa']
['Barcelona-El Prat Airport (BCN)', 'Lisbon Humberto Delgado Airport (LIS)', 'Air France']
['Barcelona-El Prat Airport (BCN)', 'Lisbon Humberto Delgado Airport (LIS)', 'British Airways']
['Barcelona-El Prat Airport (BCN)', 'Lisbon Humberto Delgado Airport (LIS)', 'Ryanair']
